name,description,country,sector,logo,websummit,linkedin,facebook,crunchbase,website,twitter,instagram,angellist
Clause,Connect contracts to enterprise software to automate obligations from payments to dynamic calculations and real-time…,United States,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/4ff7e3e3e3f1ee7492385a8e905dab105a1b2d0c.png?1556208238,['2019'],https://www.linkedin.com/company/clause,,,https://clause.io/,https://twitter.com/clausehq,,https://angel.co/clause
Clevy,Clevy is a SaaS platform that lets companies easily create and maintain corporate chatbots that answer employees' frequently asked…,France,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/be1055a4b2365d551b74e05c7e457a64abf8ec06.png?1565339248,['2019'],https://www.linkedin.com/company/clevyio,https://www.facebook.com/clevyio/,https://www.crunchbase.com/organization/clevy#/entity,https://www.clevy.io/,https://twitter.com/clevyio,,
Cloudalize,GPU power on demand • GPU-powered Compute-as-a-Service for Deep Learning at scale • GPU-powered…,Belgium,AI & machine learning,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/58909d1cb7e5b46451cbb647a85f2a098f77ba9e.png?1569922394,['2019'],https://www.linkedin.com/company/cloudalize,,https://www.crunchbase.com/organization/cloudalize,https://www.cloudalize.com/,https://twitter.com/cloudalize,,
Codenation,"We accelerate developers' careers through challenge-based learning, mentoring and market driven education.",Brazil,Education,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/299ce613815fbf4d42f32dae127be4704f54f715.png?1570561972,['2019'],https://www.linkedin.com/company/16159752,https://www.facebook.com/dev.codenation,,http://codenation.dev/,https://twitter.com/codenationdev,https://instagram.com/codenationdev,https://angel.co/company/codenation-2
Coder,"Coder moves the development workstation to the cloud, bringing security and productivity to development teams.",United States,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/838c7467409b6bc505175922580621b87502b4ce.png?1567182047,['2019'],https://www.linkedin.com/company/coderhq,,,https://coder.com/,https://twitter.com/coderhq,,
combyne,Combyne is a fast growing social network for combining clothing – the little daily task for billions of people.,Germany,Social media & networking,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/b630e13026768b184b3f9aca9f3001ae7e53320c.png?1570609273,['2019'],https://www.linkedin.com/company/combyne-gmbh,https://www.facebook.com/combyneapp,https://www.crunchbase.com/organization/combyne,https://www.combyne.com/,https://twitter.com/combyneapp,https://instagram.com/combyneapp,https://angel.co/combyne
Craft.io,Craft.io - the Product Management platform providing the tools to make insight-based product decisions and execute on…,Israel,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/d65d35c08b939f49d583cd68ca5a9958ee8771d4.png?1567425390,['2019'],https://www.linkedin.com/company/10503212,https://www.facebook.com/CreateWithCraft,https://www.crunchbase.com/organization/craft-4,https://craft.io/,https://twitter.com/CreateWithCraft,,
Crypterium,The world's first cryptobank.,United Kingdom,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/cd57f389e70dba0c940365bbb9da5da5f101a996.png?1566236701,['2019'],https://www.linkedin.com/company/crypterium,https://www.facebook.com/crypterium.org,https://www.crunchbase.com/organization/crypterium,https://crypterium.com/,https://twitter.com/crypterium,,
CTO.ai,CTO.ai partners with high growth companies and enterprises to automate DevOps and streamline developer experience.,Canada,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/d4bf6f05a2b217e24b66e2f1808144243362d884.png?1566956495,['2019'],https://www.linkedin.com/company/cto-ai,,https://www.crunchbase.com/organization/cto-ai,https://cto.ai/,https://twitter.com/cto_ai,,https://angel.co/cto-ai
Cubbit,World’s 1st distributed cloud provider. Recycling the Internet we waste into most competitive & secure web services. #Techstars…,Italy,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/f1082815df085e9175a957c4a4c0b1e4b7d3b6be.png?1565714613,['2019'],https://www.linkedin.com/company/cubbit,https://www.facebook.com/cubbit.io,https://www.crunchbase.com/organization/cubbit,https://cubbit.io/,https://twitter.com/_cubbit,,
"Cumulus Digital Systems, Inc.","Internet of Tools platform connecting workers, tools, and data to eliminate poor work quality in industrial maintenance and…",United States,Hardware & IoT,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/0a59c10859a02fbf7403a420573201dcc2ecd80d.png?1554434506,['2019'],https://www.linkedin.com/company/cumulus-digital-systems,,https://www.crunchbase.com/organization/cumulus-digital-systems#section-overview,https://www.cumulusds.com/,https://twitter.com/cumulusds,,
Daystar Power,"We bridge Africa’s power gap through our smart solutions, using renewable energy and providing businesses with power as a service",Ghana,"Environment, energy & clean tech",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/ca21940151059fb7147bf60b79997274e2e3dae5.png?1570578100,['2019'],https://www.linkedin.com/company/daystar-power-group,,,https://www.daystar-power.com/,,,
DefinedCrowd,"DefinedCrowd offers a platform that collects, refines and structures training data for AI and ML systems.",United States,AI & machine learning,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/2203652190db7b7dd9b0d40cbe9ccec8b885e3a1.png?1567436229,['2019'],https://www.linkedin.com/company/definedcrowd,https://www.facebook.com/definedcrowd/,https://www.crunchbase.com/organization/definedcrowd,https://www.definedcrowd.com/,https://twitter.com/definedcrowd,,https://angel.co/definedcrowd-1
Domotron,Discover the first AI-powered Smart Home. Connect your existing IoT devices. Teach it your habits. And enjoy advanced home automation.,Czech Republic,Hardware & IoT,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/2925afaeef0c0d007843da4cc7a08d0503b214e3.png?1573042261,['2019'],https://www.linkedin.com/company/domotron,https://www.facebook.com/DomotronGlobal,https://www.crunchbase.com/organization/domotron,https://www.domotron.com/,https://twitter.com/DomotronGlobal,,https://angel.co/domotron
Ekkono Solutions AB,"Ekkono does machine learning for IoT. We make machines, vehicles and other things smart, predictive and self-learning.",Sweden,AI & machine learning,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/881cf1ac81699b84fd50a7653baf240ceffba9ec.png?1565722517,['2019'],https://www.linkedin.com/company/ekkono-solutions-ab,https://www.facebook.com/ekkono,https://www.crunchbase.com/organization/ekkono-solutions,https://ekkono.ai/,https://twitter.com/ekkonosolutions,,
EPICA,"Platform that anticipates/predicts, sales, interest, content engagement, demand for: Retail, E-commerce, CPG, Media,…",United States,AI & machine learning,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/16c5e3c872980aa6e08d90956edaaab884c74da6.png?1552494285,['2019'],https://www.linkedin.com/company/epica-,https://www.facebook.com/EPICAai,https://www.crunchbase.com/organization/epica,https://www.epica.ai/,https://twitter.com/EPICA_ai,,https://angel.co/company/poder-io-1
Expat.com,"Expat.com is the largest support network for expatriates, helping 2.6 million members make their expat project a success.",Mauritius,Social media & networking,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/22df40b8099e13743fb6fb87e60cacf22484c1dd.png?1565614068,['2019'],https://www.linkedin.com/company/expat-blog,https://www.facebook.com/expat.blog,https://www.crunchbase.com/organization/expat-com,https://www.expat.com/,https://twitter.com/expat_blog,,https://angel.co/company/expat-com-1
eyeson GmbH,The web-based video communication solution eyeson enables quick & easy remote collaboration – for video meetings within…,Austria,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/d1dcb1e003294e540b8d631f6c109fb5aad2ec08.png?1568032473,['2019'],https://www.linkedin.com/company/eyeson_team,https://www.facebook.com/eyeson.team,,https://www.eyeson.com/,https://twitter.com/eyeson_team?lang=de,https://instagram.com/eyeson.team,
featherstone.solutions,An in-home monitoring platform delivering personal awareness & protection; supporting the privacy and digital lifestyle of urbanites,United Kingdom,Security,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/856e19583306f4a02d68f2e50a680c4cb2668850.png?1570824767,['2019'],,,,https://featherstone.solutions/,https://twitter.com/featherstonesol,,
"FiNC Technologies, Inc.","Personal AI for everyone's wellness - With over 7 million downloads, FiNC is Japan's #1 health and wellness app",Japan,"Sports, fitness & wellness",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/b43ff23c09c5e60b43e54e1bc28eb8a3e433d7b8.png?1570762863,['2019'],,https://www.facebook.com/finc.co.jp,,https://finc.com/,,https://instagram.com/finc_app,
Fitplan,Fitplan is a community driven platform that provides members cost-effective access to the world's most elite fitness trainers and athletes,United States,"Sports, fitness & wellness",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/f4456d164cd24eca745d3a333dce88b78f037d04.png?1552079940,['2019'],https://www.linkedin.com/company/total-fitness-and-nutrition,https://www.facebook.com/fitplantech,https://www.crunchbase.com/organization/fitplan,https://www.fitplanapp.com/,,https://instagram.com/fitplan_app,https://angel.co/fitplan-technologies-inc
flatfair,The home of deposit-free renting.,United Kingdom,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/b6013af01971038695292bdec452ef23de1776a5.png?1570110601,['2019'],https://www.linkedin.com/company/flatfair,https://www.facebook.com/flatfair,https://www.crunchbase.com/organization/flatfair,https://flatfair.co.uk/,https://twitter.com/getflatfair,https://instagram.com/getflatfair,https://angel.co/company/flatfair
Flightio,"Flightio.com is an innovative and pioneer online travel company (OTC) in Iran which offers tourism services, from A to Z",Islamic Republic of Iran,Travel & hospitality,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/d85b5a8f74104ead2993a2d463860bb586b9546a.png?1569244745,['2019'],https://www.linkedin.com/company/flightiocom,,https://www.crunchbase.com/organization/flightio,https://flightio.com/,https://twitter.com/Flightiocom,https://instagram.com/flightio,
Flutterwave,"Flutterwave is a global payments technology company building digital payments infrastructure, with a focus on the African market.",United States,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/5da39583f6d6f84a0e699744525d5c434353c9bd.png?1566838368,['2019'],https://www.linkedin.com/company/flutterwave,https://www.facebook.com/theFlutterwave,https://www.crunchbase.com/organization/flutterwave,https://www.flutterwave.com/,https://twitter.com/theflutterwave,,https://angel.co/company/flutterwave
Flux,A receipts and rewards platform that lives in your banking app. We link customers to exactly what they buy in real time via payment…,United Kingdom,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/5e430bb656f3018ae454e56eb87d5a90a88a0c9a.png?1568378795,['2019'],https://www.linkedin.com/company/flux-systems-limited,,,https://tryflux.com/,https://twitter.com/tryflux,,
Food-X Technologies,Food-X Technologies is a last-mile fulfillment platform enabling grocers to scale their e-commerce business and be leaders in sustainability,Canada,eCommerce & retail,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/806bb8a4af6f08925e61fb83d7161e529a1a12ea.png?1567611865,['2019'],https://www.linkedin.com/company/food-x-urban-delivery,,,https://www.foodx.ca/,,,
Freetrade,Challenger stockbroker that’s brought commission-free investing to the UK and is preparing to launch in Europe in early 2020.,United Kingdom,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/d5fb25cf8e9e1caf0805cd6bbffff391085cc625.png?1569253739,['2019'],https://www.linkedin.com/company/freetrade,https://www.facebook.com/getfreetrade,https://www.crunchbase.com/organization/freetrade-limited,https://freetrade.io/,https://twitter.com/freetrade,https://instagram.com/freetradeapp,https://angel.co/freetrade
GenePlanet,"GenePlanet is a global provider of innovative healthcare and lifestyle solutions based on preventive genetic, blood & microbiome testing.",Slovenia,Medtech & pharma,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/3df3d8ad74abe75d4737782177ad69d346a71478.png?1537535332,['2019'],https://www.linkedin.com/company/geneplanet,https://www.facebook.com/geneplanet,https://www.crunchbase.com/organization/geneplanet,https://geneplanet.com/,https://twitter.com/GenePlanet,,
GetTransfer.com,Leading global mobility marketplace focusing on pre-booked airport transfers,United Kingdom,Travel & hospitality,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/1015c65838b973820f2d43b2ccc71d0df427e162.png?1569330385,['2019'],https://www.linkedin.com/company/get-transfer,https://www.facebook.com/pages/category/Tour-Agency/GetTransferru-384936291701951,https://www.crunchbase.com/organization/get-transfer,https://gettransfer.com/,https://twitter.com/GetTransfercom,,https://angel.co/get-transfer-1
Glowbl,1st web-based solution to bring a higher level of interactivity for virtual classrooms. How? By mimicking the human learning…,France,Education,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/cc528d346d5dc086f31812d9d0957a6c1640f98a.png?1538145401,['2019'],https://www.linkedin.com/company/Glowbl,https://www.facebook.com/Glowbl,https://www.crunchbase.com/organization/glowbl,https://www.glowbl.com/,https://twitter.com/Glowbl_Official,,
Hadean,The development platform for the next generation of computing,United Kingdom,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/58196d88550d5b0d92e872a0f61d0fd8021f67a8.png?1570025220,['2019'],https://www.linkedin.com/company/hadean,https://www.facebook.com/hadeaninc,https://www.crunchbase.com/organization/hadean,https://www.hadean.com/,https://twitter.com/hadeaninc,,
Healx,"We use AI to discover treatments for rare disease patients, fast. It’s our mission to progress 100 therapies towards the clinic by 2025.",United Kingdom,Medtech & pharma,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/c971855df8ddf3df1057eaad672c5c31614b6db6.png?1565770240,['2019'],https://www.linkedin.com/company/healx,https://www.facebook.com/Healx.io,https://www.crunchbase.com/organization/healx,https://healx.io/,https://twitter.com/healx,,
Hirefreehands,"Hirefreehands builds value for companies globally, by using innovative HR technology to connect them to world-class, remote talent on demand",Portugal,HR & recruitment,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/a00b3d8771b7fc8abe38028861426ac7ac687ea6.png?1571002329,['2019'],https://www.linkedin.com/company/hirefreehands,https://www.facebook.com/hirefreehands,https://www.crunchbase.com/organization/hirefreehands,https://www.hirefreehands.tech/,https://twitter.com/hirefreehands,https://instagram.com/hirefreehands,https://angel.co/hirefreehands
Holded,"Take control of your business & save time by managing Sales, Finance, Operations and HR, all from one beautiful platform.",Spain,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/0b7470505abb8d163fbed2580bca53ce46071b20.png?1568892192,['2019'],https://www.linkedin.com/company/holded,https://www.facebook.com/holdedapp,https://www.crunchbase.com/organization/holded,https://www.holded.com/,https://twitter.com/holdedapp,https://instagram.com/holded.io,https://angel.co/company/holded-technologies-s-l
IgoriaCard,Multicurrency payment cards platform and fintech marketplace for SME and individuals from Igoria Trade SA company,Poland,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/dd9cddf9945b58a6b4443d4beb9c3b141453da4d.png?1571312995,['2019'],https://www.linkedin.com/company/igoriacard,https://www.facebook.com/IgoriaCard,,https://www.igoriacard.com/,https://twitter.com/IgoriaCard,,
Ironhack,"We are a global tech school educating the next generation of Developers, UX-UI Designers and Data Analysts. Over 90% of employment…",Portugal,Education,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/3ba44cf10aa7ea2dacb0a98d6f3bf582a775b464.png?1571146951,['2019'],https://www.linkedin.com/company/3297892,https://www.facebook.com/pg/theironhack/community/?ref=page_internal,https://www.crunchbase.com/organization/ironhack#section-overview,http://www.ironhack.com/,https://twitter.com/ironhack,https://instagram.com/ironhack/?hl=pt,
"ispace, inc.",ispace is making a lunar lander and small lunar rovers to delivery customer payloads to the Moon.,Japan,Autotech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/891ac3d488dd3ea0c911fd95bb0a21c4816ed895.png?1571105518,['2019'],https://www.linkedin.com/company/ispace-inc,https://www.facebook.com/ispace.technologies.inc,,https://ispace-inc.com/,https://twitter.com/ispace_inc,https://instagram.com/hakuto_r,
Just,Towards a fair financial market,Norway,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/3fc89c9ddec98c27c8375b26e0c827fb1ff3d05e.png?1565773341,['2019'],https://www.linkedin.com/company/just-technologies,https://www.facebook.com/gojustfx,,https://gojust.com/,https://twitter.com/just_financial,,
Kantree,Unleash collective intelligence and manage projects on your own terms with our truly flexible work management platform.,France,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/06fad4ea838c32266b5c46efb426aa7e9b8b53d7.png?1534858446,['2019'],https://www.linkedin.com/company/digicoop,,https://www.crunchbase.com/organization/digicoop,https://kantree.io/,https://twitter.com/kantreeapp,,https://angel.co/digicoop
KARD,"Kard is the coolest way to take control of your money. It's hype, social and free.",France,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/f3ed9281921570a8e86228e3915c5caebbf63037.png?1565775765,['2019'],https://www.linkedin.com/company/kard-app,https://www.facebook.com/getkardapp,https://www.crunchbase.com/organization/kard,https://kard.eu/,https://twitter.com/Kard_App,,
